Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,
U190C-86,U190C-86,B160B-7B,U1907-09,U190C-86,U1917-2F,B160B-7B,U1917-2F,U1904-85,B1555-68,U190C-86,U190C-86,U1917-2F,
U1907-09,U190A-09,B1651-11,U190A-09,U1907-09,B1543-4B,B1651-11,P0181-27,U1907-09,C1019-38,U1904-85,U1907-09,U1917-96,
